,avg ndvi_min,avg ndvi_mean,avg ndvi_median,avg ndvi_max,avg ndmi_min,avg ndmi_mean,avg ndmi_median,avg ndmi_max
Muy Alto,0.07881028460777197,0.16461616224972217,0.14748523461571947,0.2917318747165656,-0.15621145783796564,-0.07620442822463055,-0.10001430089579534,0.12622200713270312
Alto,0.08433605600440636,0.17222521687680833,0.1573582214629433,0.2941336430733585,-0.1495433332470136,-0.06798715255504943,-0.09346392213448285,0.14197684597393748
Medio,0.08330596381874426,0.1668868954848341,0.15361858298442868,0.28032493099026606,-0.1425163884525953,-0.06264757542897754,-0.08754281527034569,0.14348165405907498
Bajo,0.07123881178314448,0.14744964877808261,0.13690371945485255,0.24598705401671148,-0.11430400421040597,-0.03873141580112761,-0.06300905859450495,0.1580080477742607
Muy bajo,0.056854985061208,0.12086373333215024,0.11460056077321333,0.1954202527650806,-0.10292780382632709,-0.03438931541208843,-0.05826528264150538,0.15919373986249521
Todos los hex,0.06627546073434637,0.1381817711121732,0.1289924739051936,0.22871284736325015,-0.11477321964070483,-0.04176128647926968,-0.06594069996550403,0.155183473876317
