,avg ndvi_min,avg ndvi_mean,avg ndvi_median,avg ndvi_max,avg ndmi_min,avg ndmi_mean,avg ndmi_median,avg ndmi_max
Muy Alto,0.1485933502450105,0.34065312614526944,0.3121217030854357,0.5700641608670056,-0.13123699279546697,-0.004543671046498721,-0.023614141264054183,0.18532864737771765
Alto,0.1377473390892985,0.29066177454071496,0.26329149880162006,0.4869530401145798,-0.11843618038295355,-0.009722563151703188,-0.028776195303679086,0.17005972697835345
Medio,0.12605598466202408,0.254586139137526,0.23774607263040493,0.40756142678360624,-0.10534327500320713,-0.012509091924256248,-0.027795402891022964,0.13842782124517097
Bajo,0.11069910102632773,0.21353635964709775,0.20522719257773442,0.3252093250639454,-0.0934413808566029,-0.017350403132257688,-0.03100053919315935,0.11033121194722673
Muy bajo,0.1420461237362975,0.2519962387777924,0.2489015663388693,0.36267014922938146,-0.06881319252015108,0.005542495035583898,-0.005186132977641646,0.12299177136762206
Todos los hex,0.12792874097854215,0.25037083575015,0.23717095823680573,0.39066679164582724,-0.09616689052871533,-0.008986765765847138,-0.023446239668871226,0.13316166639647978
