,avg ndvi_min,avg ndvi_mean,avg ndvi_median,avg ndvi_max,avg ndmi_min,avg ndmi_mean,avg ndmi_median,avg ndmi_max
Muy Alto,0.11829014512975382,0.21944274107830644,0.19276632466102828,0.3763711900025014,-0.1912255140284103,-0.10757977444076688,-0.12615709869405575,0.023111797919867658
Alto,0.11089366376458135,0.19411851093406926,0.17929104658522768,0.31457992121357836,-0.1583896688725581,-0.08522215174011646,-0.09864278961693493,0.02331522129304453
Medio,0.10325812835568703,0.1721609367290761,0.16216591381539125,0.26796289676261686,-0.1290358342568514,-0.06343990107107006,-0.07343315887974684,0.026620531349410607
Bajo,0.0926173715114015,0.15396787981958962,0.14732643313919352,0.23484344038422203,-0.11876031627953956,-0.05681529843319246,-0.06348854086423215,0.02337721427826977
Muy bajo,0.08514762352875264,0.14302800786764544,0.13366304594855635,0.22614210295493023,-0.1133927118523959,-0.058057124829571934,-0.06658959481040526,0.019769005348486603
Todos los hex,0.09842916549245094,0.1654355496805799,0.15593322978371446,0.2580222395334704,-0.12774733681467612,-0.06345945951929358,-0.07256749075221376,0.024289904082567034
