geometry,supermercado_count_15min,farmacia_count_15min,hogar_count_15min,ep_plaza_big_count_15min,centro_recyc_count_15min,local_mini_market_count_15min
"POLYGON ((-70.71833828526707 -33.37036352061302, -70.71951022859774 -33.37180466191804, -70.71860873844108 -33.37321202602632, -70.71653531327729 -33.37317824465742, -70.71536340607879 -33.37173711478697, -70.7162648879106 -33.37032975485105, -70.71833828526707 -33.37036352061302))",2.9454444444444445,1.9454444444444443,0.1398888888888889,2.5843333333333334,3.862111111111111,6.528777777777778
"POLYGON ((-70.72915428780105 -33.32074594244041, -70.73032615283698 -33.32218789675322, -70.72942483202526 -33.32359660194177, -70.7273516544783 -33.32356334862506, -70.72617982554122 -33.3221214057529, -70.72708113805092 -33.32071270475699, -70.72915428780105 -33.32074594244041))",0.001,0.001,0.001,0.001,0.001,0.001
"POLYGON ((-70.73511231873505 -33.44880841666765, -70.73628487117615 -33.45024812793523, -70.73538308179329 -33.45165378691404, -70.73330874826777 -33.45161973049258, -70.73213623195218 -33.45018003062192, -70.73303801303526 -33.448774375776, -70.73511231873505 -33.44880841666765))",2.827086956521739,3.5662173913043476,0.001,11.522739130434783,14.783608695652173,2.0444782608695653
"POLYGON ((-70.70344900626266 -33.63833869735054, -70.70462199960413 -33.63977523563736, -70.70371955136154 -33.64117586656531, -70.70164411814589 -33.64113995515175, -70.7004711610407 -33.63970342822793, -70.70137360091353 -33.63830280135488, -70.70344900626266 -33.63833869735054))",1.801,1.801,0.001,5.801,0.301,1.001
"POLYGON ((-70.64530433513407 -33.48421450704603, -70.64647576684114 -33.48565397658331, -70.64557393316906 -33.48705766059874, -70.64350067625294 -33.48702187094043, -70.64232928083909 -33.48558241286253, -70.64323110604683 -33.48417873298376, -70.64530433513407 -33.48421450704603))",2.0940232558139535,3.4196046511627904,4.86146511627907,8.628906976744185,3.2335581395348836,3.0940232558139535
"POLYGON ((-70.57684921979302 -33.58085090232263, -70.57802012216574 -33.58228897279061, -70.57711800461657 -33.58368944457616, -70.57504499328775 -33.58365184178633, -70.57387412735606 -33.58221378280324, -70.57477623631078 -33.5808133151253, -70.57684921979302 -33.58085090232263))",3.001,3.8343333333333334,1.001,2.501,7.251,1.9176666666666666
"POLYGON ((-70.71319784412778 -33.4796882850153, -70.71437022831375 -33.48112755105456, -70.71346834714957 -33.48253218543815, -70.71139409013958 -33.48249754965888, -70.71022174212655 -33.4810582950249, -70.71112361494924 -33.4796536647651, -70.71319784412778 -33.4796882850153))",0.001,0.001,0.001,0.001,0.001,0.001
"POLYGON ((-70.60181895990316 -33.38546862830847, -70.60298930210719 -33.38690998822015, -70.60208786830268 -33.38831554264497, -70.60001610082878 -33.38827973296699, -70.59884579496506 -33.38683838458078, -70.5997472202336 -33.38543283434729, -70.60181895990316 -33.38546862830847))",0.001,0.4888048780487805,0.001,6.0741707317073175,1.6351463414634144,1.6351463414634144
"POLYGON ((-70.76677309182277 -33.45500603324788, -70.7679461261598 -33.45644550423878, -70.76704428574295 -33.45785140277922, -70.76496941923072 -33.45781782620598, -70.76379642096535 -33.45637836658422, -70.76469825313923 -33.45497247216677, -70.76677309182277 -33.45500603324788))",1.001,1.001,0.20789655172413793,7.690655172413793,1.0354827586206896,2.897551724137931
"POLYGON ((-70.63936456658234 -33.45430092634222, -70.64053577214408 -33.45574093984793, -70.63963405259706 -33.45714528076667, -70.63756113595997 -33.45710960402833, -70.63638996669309 -33.45566960199616, -70.63729167776708 -33.45426526522898, -70.63936456658234 -33.45430092634222))",3.7836086956521737,11.914043478260869,19.044478260869568,0.8705652173913043,7.261869565217392,22.392304347826087
"POLYGON ((-70.60334234981224 -33.59832991822409, -70.60451371619168 -33.59976757421105, -70.60361150893048 -33.60116794640496, -70.60153794383642 -33.60113065851798, -70.60036661385691 -33.59969301398866, -70.60126881257023 -33.59829264588885, -70.60334234981224 -33.59832991822409))",0.001,0.001,2.001,1.001,0.001,0.001
"POLYGON ((-70.76379040293061 -33.42369926752403, -70.76496324721245 -33.42513929490871, -70.76406152281686 -33.42654592040575, -70.76198696238436 -33.4265125143805, -70.76081415417036 -33.42507249837701, -70.76171587031966 -33.4236658770178, -70.76379040293061 -33.42369926752403))",0.626,0.001,0.751,4.834333333333333,3.5843333333333334,1.1051666666666666
"POLYGON ((-70.6287662997639 -33.6044508428395, -70.62993806078771 -33.60588828636364, -70.62903580650952 -33.60728882368694, -70.62696179970858 -33.60725191340033, -70.62579007504205 -33.60581448131108, -70.62669232081784 -33.60441394807375, -70.6287662997639 -33.6044508428395))",0.001,0.001,0.001,1.8343333333333331,2.001,0.001
"POLYGON ((-70.68805080253378 -33.37839793174751, -70.68922234977848 -33.37983905942786, -70.6883208587177 -33.38124585355446, -70.68624782879094 -33.38121151582544, -70.68507631773383 -33.37977039960202, -70.68597780041458 -33.37836360965088, -70.68805080253378 -33.37839793174751))",1.4492758620689654,4.759620689655173,6.173413793103449,7.690655172413793,3.0354827586206894,1.6561724137931033
"POLYGON ((-70.71401040326461 -33.4228885021937, -70.71518253164244 -33.42432875138647, -70.71428085546481 -33.4257347820155, -70.71220705924416 -33.42570055930259, -70.71103496702136 -33.42426032153195, -70.71193663486281 -33.42285429505229, -70.71401040326461 -33.4228885021937))",2.395736842105263,0.9483684210526315,5.422052631578948,4.764157894736843,7.974684210526316,1.0799473684210525
