,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
41009,8a498c96c31ffff,10,0.053794948516353476,10%_mins,123.9812466244314,0.9684950282786222,Muy bajo,Guadalajara,"POLYGON ((-103.38540893958252 20.6622588593849, -103.38476074180018 20.662696033351295, -103.38483807655606 20.663438234301534, -103.3855636172072 20.663743261711897, -103.38621181884922 20.66330608406998, -103.38613447598044 20.66256388269327, -103.38540893958252 20.6622588593849))",0.694733377344109
35904,8a498c968b0ffff,10,0.053891866715227985,10%_mins,125.18653467299833,0.9779102563980371,Muy bajo,Guadalajara,"POLYGON ((-103.38840713715773 20.67771321948544, -103.38775886679979 20.67815040973495, -103.38783622872728 20.678892640905552, -103.38856186912746 20.67919768225269, -103.38921014334495 20.67876048832901, -103.38913277330273 20.678018256732425, -103.38840713715773 20.67771321948544))",0.6946364591452345
4151,8a49ab413197fff,10,0.05403054747088202,10%_mins,125.36315769681427,0.979289996974621,Muy bajo,Guadalajara,"POLYGON ((-103.54501991138443 20.741321259775578, -103.54437160159361 20.741759135390765, -103.54444993595062 20.742501557276377, -103.5451765882154 20.74280610392419, -103.54582490181387 20.742368224621963, -103.54574655933993 20.741625802359017, -103.54501991138443 20.741321259775578))",0.6944977783895805
53962,8a49aa2592d7fff,10,0.05407978485501002,10%_mins,124.9575555833759,0.9761215731753833,Muy bajo,Guadalajara,"POLYGON ((-103.48623976383337 20.53220802107501, -103.48559240015223 20.532645593002446, -103.48567025737714 20.53338759631456, -103.48639548637603 20.53369202808904, -103.48704285387333 20.533254452458472, -103.48696498855561 20.532512448756602, -103.48623976383337 20.53220802107501))",0.6944485410054525
9193,8a498c96932ffff,10,0.05439007243172067,10%_mins,126.07053768983019,0.9848157807065423,Muy bajo,Guadalajara,"POLYGON ((-103.40584421963648 20.698526525537066, -103.40519587523113 20.69896379513372, -103.40527335368576 20.699706073337087, -103.40599918466249 20.700011082364863, -103.40664753292248 20.69957380909415, -103.4065700463511 20.698831530469764, -103.40584421963648 20.698526525537066))",0.6941382534287418
48978,8a49aa2596c7fff,10,0.054857314378023145,10%_mins,125.12981293968282,0.9774671975585243,Muy bajo,Guadalajara,"POLYGON ((-103.47800429043585 20.533006685969713, -103.47735690793911 20.533444223097725, -103.47743471660567 20.534186224061862, -103.47815991586224 20.534490688290486, -103.4788073021781 20.534053147460483, -103.47872948541831 20.533311146103895, -103.47800429043585 20.533006685969713))",0.6936710114824394
52258,8a49aa251177fff,10,0.05497675557290355,10%_mins,120.10925686335233,0.9382484697329654,Medio,Guadalajara,"POLYGON ((-103.44550972450885 20.467580544238146, -103.44486261269672 20.46801792496503, -103.44494018842357 20.468759783845734, -103.44566488404878 20.46906426240048, -103.44631199968768 20.468626877968397, -103.44623441587463 20.467885018686815, -103.44550972450885 20.467580544238146))",0.6935515702875589
26904,8a49ab5b0847fff,10,0.055057555153256374,10%_mins,123.28365598553052,0.9630457111483763,Bajo,Guadalajara,"POLYGON ((-103.44052815621207 20.5591215110833, -103.4398805753476 20.55955889565021, -103.43995817656092 20.560300928763716, -103.44068336673661 20.56060557771576, -103.44133095143503 20.560168189454593, -103.44125334212383 20.559426155935697, -103.44052815621207 20.5591215110833))",0.6934707707072061
4371,8a498c9698e7fff,10,0.05538579725450085,10%_mins,124.93062163946325,0.975911175553229,Muy bajo,Guadalajara,"POLYGON ((-103.40273721674271 20.68870430757328, -103.40208891633415 20.689141561695948, -103.40216637034274 20.689883820227486, -103.40289213287548 20.690188825058108, -103.40354043713916 20.68975156726068, -103.40346297501497 20.689009308307433, -103.40273721674271 20.68870430757328))",0.6931425286059616
38194,8a498c969747fff,10,0.05546846843901136,10%_mins,125.71007702044572,0.9820000061244886,Muy bajo,Guadalajara,"POLYGON ((-103.39783155455014 20.701546740918175, -103.39718318073498 20.701983976787343, -103.39726061321385 20.70272625668012, -103.3979864276253 20.703031301127474, -103.3986348052981 20.70259406158563, -103.39855736470182 20.70185178126916, -103.39783155455014 20.701546740918175))",0.6930598574214512
